id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun
70,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,152,UNIT,2015
71,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2015
72,32,JAWA BARAT,3271,KOTA BOGOR,249,UNIT,2015
73,32,JAWA BARAT,3272,KOTA SUKABUMI,80,UNIT,2015
74,32,JAWA BARAT,3273,KOTA BANDUNG,445,UNIT,2015
75,32,JAWA BARAT,3274,KOTA CIREBON,63,UNIT,2015
76,32,JAWA BARAT,3275,KOTA BEKASI,235,UNIT,2015
77,32,JAWA BARAT,3276,KOTA DEPOK,121,UNIT,2015
78,32,JAWA BARAT,3277,KOTA CIMAHI,45,UNIT,2015
79,32,JAWA BARAT,3278,KOTA TASIKMALAYA,49,UNIT,2015
80,32,JAWA BARAT,3279,KOTA BANJAR,44,UNIT,2015
81,32,JAWA BARAT,3201,KABUPATEN BOGOR,235,UNIT,2016
82,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72,UNIT,2016
83,32,JAWA BARAT,3203,KABUPATEN CIANJUR,237,UNIT,2016
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,532,UNIT,2016
85,32,JAWA BARAT,3205,KABUPATEN GARUT,228,UNIT,2016
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25,UNIT,2016
87,32,JAWA BARAT,3207,KABUPATEN CIAMIS,118,UNIT,2016
88,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,78,UNIT,2016
89,32,JAWA BARAT,3209,KABUPATEN CIREBON,25,UNIT,2016
90,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,67,UNIT,2016
91,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,119,UNIT,2016
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,36,UNIT,2016
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,159,UNIT,2016
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,117,UNIT,2016
95,32,JAWA BARAT,3215,KABUPATEN KARAWANG,227,UNIT,2016
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,93,UNIT,2016
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,152,UNIT,2016
98,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,156,UNIT,2016
99,32,JAWA BARAT,3271,KOTA BOGOR,195,UNIT,2016
100,32,JAWA BARAT,3272,KOTA SUKABUMI,87,UNIT,2016
101,32,JAWA BARAT,3273,KOTA BANDUNG,756,UNIT,2016
102,32,JAWA BARAT,3274,KOTA CIREBON,143,UNIT,2016
103,32,JAWA BARAT,3275,KOTA BEKASI,235,UNIT,2016
104,32,JAWA BARAT,3276,KOTA DEPOK,381,UNIT,2016
105,32,JAWA BARAT,3277,KOTA CIMAHI,114,UNIT,2016
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,132,UNIT,2016
107,32,JAWA BARAT,3279,KOTA BANJAR,54,UNIT,2016
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,342,UNIT,2017
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72,UNIT,2017
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,237,UNIT,2017
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,532,UNIT,2017
112,32,JAWA BARAT,3205,KABUPATEN GARUT,228,UNIT,2017
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,25,UNIT,2017
